ID,Kr,En,Jp
Guide_SpecialResourceInfo,하루를 피해 없이 방어에 성공할 경우 얻을 수 있다.\n중앙 거점에서 기본 자원이랑 교환 할 수 있다.,Obtained when you successfully defend a day without taking damage.\nCan be exchanged for basic resources at the central base.,1日を被害なく防衛に成功すると獲得できる。\n中央拠点で基本資源と交換できる。
Guide_HeroCreateAndPlaceInfo,좌측 아이콘을 클릭하여 영웅을 생성하거나 배치된 영웅을 재배치 및 제거를 할 수 있다.\n영웅 생성 시 자원 및 시민을 소모한다.\n영웅 생성 시 영웅 인벤토리가 열리고 영웅의 아이콘을 클릭 시 배치 할 수 있다.\n확률로 상위 티어의 영웅이 나올 수 있다.,"Click the icon on the left to create a hero, or to reposition and remove a placed hero.\nCreating a hero consumes resources and citizens.\nWhen a hero is created, the hero inventory opens, and clicking the hero's icon lets you place it.\nThere is a chance a higher-tier hero may appear.",左側のアイコンをクリックすると、英雄を生成したり、配置済みの英雄を再配置・削除したりできる。\n英雄生成時に資源と市民を消費する。\n英雄生成時、英雄インベントリが開き、英雄のアイコンをクリックすると配置できる。\n確率で上位ティアの英雄が出現することがある。
Guide_HeroTypeInfo,영웅은 근접과 원거리로 나뉘어진다.\n근접 영웅은 평지에만 원거리 영웅은 언덕에만 배치 가능하다.\n근접 영웅은 공중 적을 공격 할 수 없다.,"Heroes are divided into melee and ranged types.\nMelee heroes can only be placed on flat ground, while ranged heroes can only be placed on hills.\nMelee heroes cannot attack airborne enemies.",英雄は近接と遠距離に分けられる。\n近接英雄は平地にのみ、遠距離英雄は丘にのみ配置できる。\n近接英雄は空中の敵を攻撃できない。
Guide_HeroMergeInfo,같은 영웅이 3명 있으면 합성이 가능하다.\n근접 영웅을 합성하면 근접 영웅의 상위 티어가 나오고 원거리 영웅은 원거리 영웅의 상위 티어가 나온다.,"If you have 3 of the same hero, you can merge them.\nMerging melee heroes produces a higher-tier melee hero, and merging ranged heroes produces a higher-tier ranged hero.",同じ英雄が3人いれば合成が可能だ。\n近接英雄を合成すると上位ティアの近接英雄が、遠距離英雄を合成すると上位ティアの遠距離英雄が出現する。
Guide_HeroTierButton,티어,Tier,ティア
Guide_HeroTierInfo,영웅은 1티어에서 4티어까지 있으며 티어가 높을 수록 영웅의 능력치가 강해진다.,"Heroes range from Tier 1 to Tier 4, and the higher the tier, the stronger the hero's stats.",英雄はティア1からティア4まであり、ティアが高いほど能力値が強くなる。
Guide_BaseMainInfo,중앙 거점에서 자원의 하루 생산량을 확인할 수 있으며 특수 자원을 기본 자원으로 교환 할 수 있다.\n시민 추가 또한 중앙 거점에서 할 수 있다.,"At the central base, you can check the daily resource production and exchange special resources for basic resources.\nYou can also add citizens at the central base.",中央拠点では資源の1日の生産量を確認でき、特殊資源を基本資源と交換できる。\n市民の追加も中央拠点で行える。
Guide_HeroUpgradeButton,업그레이드,Upgrade,アップグレード
Guide_HeroUpgrade,자원을 소모하여 영웅들의 스탯을 업그레이드 할 수 있다.\n업그레이드는 근접 영웅과 원거리 영웅이 나뉘어져 있다.,Consume resources to upgrade heroes' stats.\nUpgrades are separated into melee heroes and ranged heroes.,資源を消費して英雄たちのステータスをアップグレードできる。\nアップグレードは近接英雄と遠距離英雄に分かれている。
Guide_HeroBook,도감,Archive,図鑑
Guide_HeroBookInfo,도감을 열면 영웅들의 정보에 대해 자세히 알 수 있다.,Opening the archive lets you see detailed information about your heroes.,図鑑を開くと英雄たちの情報について詳しく知ることができる。
Guide_BaseBuildInfo,중앙 거점을 제외한 각 거점에는 건물을 건설할 수 있는 칸이 있으며 클릭하여 건설할 건물의 종류를 선택할 수 있다.,Every base except the central one has slots where you can build buildings; click a slot to choose which building to construct.,中央拠点を除く各拠点には建物を建設できる枠があり、クリックして建設する建物の種類を選択できる。
Guide_BaseUnlockInfo,게임의 전투 지역이 확장될 때 마다 거점의 지역도 활성화 된다.,"Each time the game's battle area expands, the corresponding region of the base is also activated.",ゲームの戦闘地域が拡張されるたびに、拠点の地域も活性化される。
Guide_BaseBuildingButton,건물,Building,建物
Guide_BaseBuildingInfo,자원 별로 별도의 생산 건물이 있다.\n최대 시민을 증가시켜주는 건물은 한 번 설치 시 회수 할 수 없다.\n생산 건물은 시민을 배치하지 않으면 자원을 생산하지 않는다.\n건물들은 업그레이드를 할 수 있다.,Each resource has its own dedicated production building.\nA building that increases the maximum number of citizens cannot be reclaimed once installed.\nA production building will not produce resources unless citizens are assigned to it.\nBuildings can be upgraded.,資源ごとに専用の生産建物がある。\n最大市民数を増やす建物は一度設置すると回収できない。\n生産建物は市民を配置しないと資源を生産しない。\n建物はアップグレードすることができる。
Guide_EnemyPathButton,경로,Path,経路
Guide_EnemyPathInfo,적들은 맵에 보이는 빨간 선을 따라서 이동한다.,Enemies move along the red lines shown on the map.,敵はマップに表示される赤い線に沿って移動する。
Guide_EnemySpawnButton,스폰,Spawn,出現
Guide_EnemySpawnInfo,적들은 특정 위치에서 나타나기 시작하며 나오는 위치를 클릭 하면 나오는 적들의 정보를 확인 할 수 있다.,Enemies begin appearing from specific locations; click a spawn location to check information about the enemies that appear there.,敵は特定の位置から出現し始め、出現位置をクリックすると出現する敵の情報を確認できる。
Guide_EnemyTypeButton,종류,Type,種類
Guide_EnemyTypeInfo,"적은 지상, 공중 적으로 나뉘어져 있다.\n또한 일반, 엘리트, 보스로 적의 등급 또한 나뉘어져 있다.\n적의 등급은 도감의 테두리를 통해 알 수 있다.","Enemies are divided into ground and airborne types.\nThey are also ranked into Normal, Elite, and Boss grades.\nYou can tell an enemy's grade by the border around its icon in the archive.",敵は地上、空中の敵に分けられている。\nまた、雑魚、エリート、ボスと敵のランクも分けられている。\n敵のランクは図鑑の枠で確認できる。
Guide_CitizenInfo,"자원 생산 및 영웅 생성에 필수불가결인 요소이다.\n우 상단에 현재 시민 수, 전체 시민 수, 배치 가능한 시민 수, 병력으로 빠진 시민 수를 확인 할 수 있다. ","An indispensable element for resource production and hero creation.\nIn the top right, you can check the current citizen count, total citizen count, number of citizens available for assignment, and the number of citizens taken as troops.",資源生産と英雄生成に不可欠な要素だ。\n右上で現在の市民数、全体の市民数、配置可能な市民数、兵力として抜けた市民数を確認できる。
Guide_DayNIghtInfo,시간대가 낮과 밤으로 나뉘어져 낮에는 영웅 생성과 배치 및 건물 건설 및 시민 배치를 할 수 있고 밤에는 전투가 시작된다.\n밤에는 스킬 사용을 제외한 모든 행동이 불가능하다.\n우 하단의 아이콘을 클릭하여 밤으로 넘어갈 수 있다.,"Time is divided into day and night. During the day, you can create and place heroes, construct buildings, and assign citizens; at night, combat begins.\nAt night, all actions are disabled except using skills.\nClick the icon in the bottom right to switch to night.",時間帯は昼と夜に分かれており、昼には英雄の生成と配置、建物の建設、市民の配置ができ、夜には戦闘が始まる。\n夜にはスキルの使用を除く全ての行動ができない。\n右下のアイコンをクリックすると夜に移行できる。
Guide_MonsterBookButton,도감,Archive,図鑑
Guide_MonsterBookInfo,도감에서는 마주한 적 있는 적에 대한 정보가 적혀있다.,The archive contains information about enemies you have already encountered.,図鑑には遭遇したことのある敵の情報が記載されている。
Guide_PlayerSkillButton,스킬,Skill,スキル
Guide_PlayerSkill,전투 중 스킬을 사용하여 영웅들의 전투에 도움을 줄 수 있다.\n스킬에는 영웅을 강력하게 해주는 버프와 적들의 이동속도를 낮추는 스킬과 영웅들의 체력을 회복시켜주는 스킬이 있다.,"You can use skills during combat to help your heroes fight.\nSkills include buffs that strengthen heroes, skills that slow enemies' movement speed, and skills that restore heroes' health.",戦闘中にスキルを使用して英雄たちの戦闘を助けることができる。\nスキルには英雄を強化するバフ、敵の移動速度を低下させるスキル、英雄の体力を回復させるスキルがある。
ToolTip_Replace,재배치 (단축키: R),Reposition (Shortcut: R),再配置（ショートカット：R）
ToolTip_Remove,제거 (단축키: E),Remove (Shortcut: E),削除（ショートカット：E）
ToolTip_Hp,거점 체력(0이 되면 게임 오버),Base HP (Game Over at 0),拠点体力（0になるとゲームオーバー）
ToolTip_Cancel,취소,Cancel,キャンセル
ToolTip_DayCount,진행 날짜,Day Progress,経過日数
ToolTip_Wood,목재,Wood,木材
ToolTip_curmaxCitizen,현재 시민 수/전체 시민 수,Current Citizens / Total Citizens,現在の市民数／全体の市民数
ToolTip_canUseCitizen,배치 가능한 시민 수,Citizens Available for Assignment,配置可能な市民数
ToolTip_heroCitizen,영웅이 차지하고 있는 인구 수,Population Occupied by Heroes,英雄が占めている人口数
ToolTip_Stone,석재,Stone,石材
ToolTip_Iron,철,Iron,鉄
ToolTip_Gold,금,Gold,金
ToolTip_Food,식량,Food,食料
ToolTip_Special,펠리움,Fellium,フェリウム
ToolTip_BaseOpen,거점 화면 (단축키: B),Base Screen (Shortcut: B),拠点画面（ショートカット：B）
ToolTip_NightButton,밤으로 변경 (단축키: N),Switch to Night (Shortcut: N),夜に変更（ショートカット：N）
ToolTip_MonsterBook,몬스터 도감 (단축키: O),Monster Archive (Shortcut: O),モンスター図鑑（ショートカット：O）
ToolTip_HeroList,영웅 리스트,Hero List,英雄リスト
ToolTip_Menu,메뉴 (단축키: ESC),Menu (Shortcut: ESC),メニュー（ショートカット：ESC）
ToolTip_Help,가이드 (단축키: G),Guide (Shortcut: G),ガイド（ショートカット：G）
Ui_NewGame,새 게임 시작,New Game,新しいゲーム
Ui_Load,불러오기,Load,ロード
Ui_SlotLabel,슬롯 {0},Slot {0},スロット{0}
Ui_SlotDay,{0}일차,Day {0},{0}日目
Ui_PlayTimeFormat,플레이 시간 {0}시간 {1}분,Playtime {0}h {1}m,プレイ時間 {0}時間{1}分
Ui_SlotSaveTime,저장 {0},Save {0},保存 {0}
Ui_SlotEmpty,비어있음,Empty,空き
Ui_NewGamePanelTitle,새 게임 슬롯 선택,Select New Game Slot,新規ゲームスロット選択
Ui_LoadPanelTitle,불러올 슬롯 선택,Select Slot to Load,ロードするスロット選択
Ui_NewGameConfirm,슬롯 {0}에서 새 게임을 시작하시겠습니까?,Start a new game in slot {0}?,スロット{0}で新しいゲームを開始しますか?
Ui_OverwriteWarning,기존 데이터가 삭제됩니다.\n새 게임을 진행하시겠습니까?,The existing save data will be deleted.\nStart a new game?,既存のセーブデータが削除されます。\n新しいゲームを開始しますか?
Ui_LoadConfirm,{0} 슬롯을 불러오시겠습니까?,Load slot {0}?,スロット{0}をロードしますか?
Ui_Confirm,확인,Confirm,確認
Ui_SlotEmptyAction,새 게임 시작,Start New Game,ニューゲーム開始
Ui_Delete,삭제,Delete,削除
Ui_DeleteConfirm,슬롯 {0}의 저장 데이터를 삭제하시겠습니까? 삭제한 데이터는 복구할 수 없습니다.,Delete the save data in slot {0}? Deleted data cannot be recovered.,スロット{0}のセーブデータを削除しますか？削除したデータは復元できません。
Ui_HeroCount,보유 영웅 {0}명,Heroes {0},英雄{0}人
Ui_LoadOptionPanelTitle,불러오기 방식을 선택해주세요,Select how to load,ロード方法を選択してください
Ui_LoadOptionContinue,이어하기,Continue,続ける
Ui_LoadOptionPastDay,이전 일차,Past day,過去の日
Ui_DaySelectPanelTitle,불러올 일차 선택,Select Day to Load,ロードする日を選択
Ui_DaySelectRow,{0}일차,Day {0},{0}日目
Ui_DaySelectEmpty,저장된 과거 일차가 없습니다,No past days saved,保存された過去の日はありません
Ui_DaySelectWarning,선택일자 이후의 일자는 불러올 수 없습니다. 해당 일차를 정말 불러오시겠습니까?,Days after this one can no longer be loaded. Load this day anyway?,この日以降のデータは読み込めなくなります。この日をロードしますか?
Hero_Attack_Melee_Desc,이 영웅은 근거리 공격을 합니다. 지상 타일에만 배치할 수 있습니다. 은신 적을 저지할 수 있습니다.,This hero attacks at close range. Can only be placed on ground tiles. Can block stealthed enemies.,この英雄は近接攻撃を行います。地上タイルにのみ配置できます。隠密の敵を阻止できます。
Hero_Attack_Ranged_Desc,이 영웅은 원거리 공격을 합니다. 언덕 타일에만 배치할 수 있습니다. 공중 적을 타격할 수 있습니다.,This hero attacks at long range. Can only be placed on hill tiles. Can strike airborne enemies.,この英雄は遠距離攻撃を行います。丘タイルにのみ配置できます。空中の敵を攻撃できます。
Hero_Archer_Chance_Heavy_Attack_Desc,30%의 확률로 화살을 연속으로 3발 쏩니다.,30% chance to fire 3 arrows in a row.,30%の確率で矢を3発連続で放ちます。
Hero_Fighter_NHit_Heavy_Attack_Desc,3번 공격할 때마다 강한 발차기 공격을 합니다.,Every 3rd attack unleashes a powerful kick.,3回攻撃するごとに強力な蹴り攻撃を行います。
Hero_Lancer_Chance_Heavy_Attack_Desc,40%의 확률로 빠르게 4번 찌릅니다.,40% chance to quickly thrust 4 times.,40%の確率で素早く4回突きます。
Hero_Mage_NHit_Heavy_Attack_Desc,4번 공격할 때마다 커다란 구체를 발사합니다. 구체의 착탄 지점 주위의 모든 적이 피해를 입습니다.,Every 4th attack fires a large orb. All enemies around the orb's impact point take damage.,4回攻撃するごとに大きな球体を発射します。球体の着弾地点の周囲にいる全ての敵にダメージを与えます。
Hero_Warrior_NHit_Heavy_Attack_Desc,4번 공격할 때마다 직선 방향의 모든 적을 기절시킵니다.,Every 4th attack stuns all enemies in a straight line.,4回攻撃するごとに直線方向の全ての敵を気絶させます。
Hero_Berserker_NHit_Heavy_Attack_Desc,4번 공격할 때마다 주위의 모든 적을 공격합니다.,Every 4th attack strikes all nearby enemies.,4回攻撃するごとに周囲の全ての敵を攻撃します。
Hero_Berserker_Drain_Desc,적에게 가한 데미지의 일정 비율만큼 회복합니다.,Recovers a fixed percentage of the damage dealt to enemies.,敵に与えたダメージの一定割合を回復します。
Hero_Berserker_AS_Buff_Desc,적을 공격할 때마다 공격 속도가 빨라집니다.,Attack speed increases with each attack on an enemy.,敵を攻撃するたびに攻撃速度が上がります。
Hero_FireMage_Area_Attack_Desc,공격한 타일 내 모든 적이 피해를 입습니다.,All enemies within the attacked tile take damage.,攻撃したタイル内の全ての敵がダメージを受けます。
Hero_FireMage_NHit_Heavy_Attack_Desc,5번 공격할 때마다 커다란 화염 구체를 발사합니다. 구체의 착탄 지점에 화염 지대가 잠시 형성됩니다.,Every 5th attack fires a large fireball. A field of flame briefly forms at the impact point.,5回攻撃するごとに大きな火炎球を発射します。球体の着弾地点に一時的に炎の地帯が形成されます。
Hero_FireMage_Ignite_Desc,공격 대상에게 불을 붙힙니다.,Sets the attack target on fire.,攻撃対象に火をつけます。
Hero_Hunter_Triple_Attack_Desc,한 번에 3발의 화살을 발사합니다.,Fires 3 arrows at once.,一度に矢を3発発射します。
Hero_Hunter_Posion_Desc,피격된 대상을 중독시킵니다.,Poisons the target it hits.,被弾した対象を中毒させます。
Hero_Knight_NHit_Heavy_Attack_Desc,6번 공격할 때마다 주위의 적들을 기절시킵니다.,Every 6th attack stuns nearby enemies.,6回攻撃するごとに周囲の敵を気絶させます。
Hero_Mercenary_Area_Attack_Desc,공격한 타일 내 모든 적이 피해를 입습니다.,All enemies within the attacked tile take damage.,攻撃したタイル内の全ての敵がダメージを受けます。
Hero_Mercenary_Aura_Desc,주위의 적을 둔화시키는 오라를 발산합니다.,Emits an aura that slows nearby enemies.,周囲の敵を鈍化させるオーラを放ちます。
Hero_Monk_Chance_Attack_Desc,20% 확률로 에너지탄을 쏩니다. 에너지탄의 착탄 지점 주위의 모든 적이 피해를 입습니다.,20% chance to fire an energy bolt. All enemies around the bolt's impact point take damage.,20%の確率でエネルギー弾を放ちます。エネルギー弾の着弾地点の周囲にいる全ての敵にダメージを与えます。
Hero_Ninja_NHit_Attack_Desc,7번 공격할 때마다 점프하여 주위의 적들에게 5개의 수리검을 던집니다.,"Every 7th attack, jumps and throws 5 shuriken at nearby enemies.",7回攻撃するごとにジャンプし、周囲の敵に手裏剣を5本投げつけます。
Hero_Samurai_NHit_Attack_Desc,5번 공격할 때마다 직선 방향의 모든 적들에게 피해를 주는 검기를 발사합니다.,Every 5th attack fires a blade wave that damages all enemies in a straight line.,5回攻撃するごとに直線方向の全ての敵にダメージを与える剣気を放ちます。
Hero_ThunderMage_Chain_Attack_Desc,적들에게 최대 4번 튕기는 전기 구체를 발사합니다.,Fires an electric orb that chains to enemies up to 4 times.,敵に最大4回跳ね返る電気の球を発射します。
Hero_Vagabond_Chance_Attack_Desc,30%의 확률로 주위의 모든 적을 공격합니다.,30% chance to attack all nearby enemies.,30%の確率で周囲の全ての敵を攻撃します。
Hero_Vagabond_Bleed_Desc,피격된 대상에게 출혈을 일으킵니다.,Inflicts bleeding on the target it hits.,被弾した対象に出血を引き起こします。
Hero_ArchMage_Laser_Attack_Desc,레이저를 발사하여 최대 3마리의 적들에게 지속적으로 피해를 입힙니다.,Fires a laser that continuously damages up to 3 enemies.,レーザーを発射し、最大3体の敵に持続的にダメージを与えます。
Hero_Babarian_AS_Buff_Desc,적을 공격할 때마다 공격 속도가 빨라집니다.,Attack speed increases with each attack on an enemy.,敵を攻撃するたびに攻撃速度が上がります。
Hero_Babarian_Stance_Change_Desc,적을 20번 공격하면 15초동안 휠윈드 공격을 합니다. 주위의 모든 적에게 지속적으로 피해를 입힙니다. 피격된 대상에게 출혈을 일으킵니다.,"After attacking enemies 20 times, unleashes a whirlwind attack for 15 seconds. Continuously damages all nearby enemies and inflicts bleeding on those hit.",敵を20回攻撃すると15秒間ワールウィンド攻撃を行います。周囲の全ての敵に持続的にダメージを与えます。被弾した対象に出血を引き起こします。
Hero_Babarian_Aura_Desc,주위의 적들의 방어력을 낮추는 오라를 발산합니다.,Emits an aura that lowers the defense of nearby enemies.,周囲の敵の防御力を下げるオーラを放ちます。
Hero_BowMaster_Attack_Desc,매우 빠른 속도로 적들에게 화살을 쏩니다.,Fires arrows at enemies at extremely high speed.,非常に速い速度で敵に矢を放ちます。
Hero_Destroyer_Laser_Attack_Desc,레이저를 발사하여 1마리의 적에게 지속적으로 피해를 입힙니다.,Fires a laser that continuously damages a single enemy.,レーザーを発射し、1体の敵に持続的にダメージを与えます。
Hero_Destroyer_Chain_Attack_Desc,레이저 공격이 최대 5마리의 적들에게 튕깁니다.,The laser attack chains to up to 5 enemies.,レーザー攻撃が最大5体の敵に跳ね返ります。
Hero_Destroyer_Ignite_Desc,공격 대상에게 불을 붙힙니다.,Sets the attack target on fire.,攻撃対象に火をつけます。
Hero_DragonSlayer_NHit_Attack_Desc,『용살』\n4번 공격할 때마다 검을 강하게 휘둘러 직선 방향의 모든 적에게 피해를 입힙니다. 공중 적도 공격합니다.,"『Dragon Slay』\nEvery 4th attack, swings the sword hard to damage all enemies in a straight line. Also strikes airborne enemies.",『竜殺し』\n4回攻撃するごとに剣を強く振るい、直線方向の全ての敵にダメージを与えます。空中の敵も攻撃します。
Hero_DragonSlayer_Stance_Change_Desc,『용살』을 3번 발동하게 되면 『용살』이 기본 공격이 됩니다.,"When 『Dragon Slay』 is triggered 3 times, it becomes the basic attack.",『竜殺し』を3回発動すると、『竜殺し』が基本攻撃になります。
Hero_Dragoon_Pierce_Attack_Desc,직선 상의 적들을 모두 공격하는 관통 화살을 쏩니다.,Fires a piercing arrow that hits all enemies in a straight line.,直線上の敵を全て攻撃する貫通の矢を放ちます。
Hero_Dragoon_NHit_Attack_Desc,5번 공격할 때마다 더 강력한 관통 화살을 쏩니다.,Every 5th attack fires an even more powerful piercing arrow.,5回攻撃するごとにさらに強力な貫通の矢を放ちます。
Hero_Inquisitor_NHit_Attack_Desc,『심문』\n5번 공격할 때마다 주위의 모든 적을 공격하고 속박합니다.,『Interrogation』\nEvery 5th attack strikes and binds all nearby enemies.,『尋問』\n5回攻撃するごとに周囲の全ての敵を攻撃し拘束します。
Hero_Inquisitor_Rechance_Attack_Desc,『심문』을 발동하면 50%의 확률로 다시 한 번 『심문』을 발동합니다.,"When 『Interrogation』 is triggered, there is a 50% chance to trigger 『Interrogation』 again.",『尋問』を発動すると、50%の確率でもう一度『尋問』を発動します。
Hero_Inquisitor_Aura_Desc,주위의 적들을 잠시 속박시키는 오라를 발산합니다.,Emits an aura that briefly binds nearby enemies.,周囲の敵を一時的に拘束するオーラを放ちます。
Hero_MadScientist_Area_Attack_Desc,치명적인 약물이 담긴 약병을 던집니다. 약병은 착탄 범위 내 모든 적들을 공격하고 지속 피해를 입히는 맹독 지대를 형성합니다.,Throws a vial containing a lethal drug. The vial attacks all enemies within its impact radius and forms a toxic zone that deals continuous damage.,致命的な薬物が入った薬瓶を投げます。薬瓶は着弾範囲内の全ての敵を攻撃し、持続ダメージを与える猛毒地帯を形成します。
Hero_MadScientist_Poison_Desc,피격된 대상을 중독시킵니다.,Poisons the target it hits.,被弾した対象を中毒させます。
Hero_Penetrator_Chance_Attack_Desc,30%의 확률로 5번 연속으로 찌릅니다.,30% chance to thrust 5 times in a row.,30%の確率で5回連続で突きます。
Hero_Penetrator_NHit_Attack_Desc,3번 공격할 때마다 강하게 찌릅니다.,Every 3rd attack thrusts with great force.,3回攻撃するごとに強く突きます。
Hero_Seeker_Attack_Desc,최대 7마리의 적들을 지속 공격합니다.,Continuously attacks up to 7 enemies.,最大7体の敵を持続的に攻撃します。
Hero_Smasher_Stun_Desc,피격된 대상을 기절시킵니다.,Stuns the target it hits.,被弾した対象を気絶させます。
Hero_Smasher_NHit_Attack_Desc,7번 공격할 때마다 뛰어올라 지면을 강하게 내려찍습니다. 주위의 모든 적을 기절시킵니다.,"Every 7th attack, leaps up and slams the ground with force. Stuns all nearby enemies.",7回攻撃するごとに跳び上がり地面を強く叩きつけます。周囲の全ての敵を気絶させます。
Hero_Usurper_Attack_Desc,전방의 모든 적에게 피해를 주는 검기를 발사합니다.,Fires a blade wave that damages all enemies ahead.,前方の全ての敵にダメージを与える剣気を放ちます。
Tutorial_Resource,게임 전반에 사용될 자원들 입니다. 오른쪽에 떨어져 있는 자원은 적의 공세를 피해 없이 막아내는데 성공하거나 강력한 적을 쓰러트리면 얻을 수 있는 희귀 자원 입니다.,"These are the resources used throughout the game. The resource shown separately on the right is a rare resource obtained by successfully defending against an enemy assault without taking damage, or by defeating a powerful enemy.",ゲーム全体で使用される資源です。右側に離れて表示されている資源は、敵の攻勢を被害なく防ぎきるか、強力な敵を倒すことで入手できるレア資源です。
Tutorial_AssignWorker_Step1,다음으로 생산 건물을 건설하고 시민을 배치해 봅시다. 먼저 아이콘을 눌러 거점 화면을 열어봅시다.,"Next, let's build a production building and assign a citizen. First, press the icon to open the base screen.",次に生産建物を建設して市民を配置してみましょう。まずアイコンを押して拠点画面を開いてみましょう。
Tutorial_AssignWorker_Step2,열려있는 지역을 클릭해 봅시다.,Click on an unlocked region.,開放されている地域をクリックしてみましょう。
Tutorial_AssignWorker_Step3,건물을 지을 수 있는 칸을 클릭해 봅시다.,Click on a slot where you can build a building.,建物を建てられる枠をクリックしてみましょう。
Tutorial_AssignWorker_Step4,지을 수 있는 건물들이 보입니다. 그 중 농장을 선택하여 봅시다.,You can see the buildings available to build. Let's select the farm among them.,建設できる建物が表示されます。その中から農場を選んでみましょう。
Tutorial_AssignWorker_Step5,건물에 대한 정보가 보입니다. 버튼을 눌러 건설해 봅시다.,You can see information about the building. Press the button to build it.,建物についての情報が表示されます。ボタンを押して建設してみましょう。
Tutorial_AssignWorker_Step6,칸에 건물이 생성된 것이 보입니다. 건물이 있는 칸을 다시 클릭 해 봅시다.,You can see the building has been constructed in the slot. Click on the slot with the building again.,枠に建物が建てられたのが見えます。建物のある枠をもう一度クリックしてみましょう。
Tutorial_AssignWorker_Step7,건물의 세부정보가 보입니다. 시민이 배치되지 않으면 자원을 생산하지 않습니다. 시민을 한 번 배치해 봅시다.,You can see the building's details. It will not produce resources unless a citizen is assigned. Let's assign a citizen.,建物の詳細情報が表示されます。市民が配置されないと資源を生産しません。市民を一度配置してみましょう。
Tutorial_BuildingUpgrade,건물을 업그레이드 하면 생산하는 자원량이 늘어납니다. 버튼을 눌러서 업그레이드 할 수 있습니다. 건물 업그레이드에는 자원이 소모됩니다.,Upgrading a building increases the amount of resources it produces. You can upgrade it by pressing the button. Upgrading a building consumes resources.,建物をアップグレードすると生産する資源量が増えます。ボタンを押してアップグレードできます。建物のアップグレードには資源が消費されます。
Tutorial_BuildHouse_Step1,다음으로 주택을 지어 봅시다. 빈 칸을 클릭해 봅시다.,"Next, let's build a house. Click on an empty slot.",次に住宅を建ててみましょう。空いている枠をクリックしてみましょう。
Tutorial_BuildHouse_Step2,주택을 선택해 봅시다.,Let's select the house.,住宅を選んでみましょう。
Tutorial_BuildHouse_Step3,주택은 건설하면 최대 주민 수를 늘려주지만 제거할 수 없습니다. 건설 할 때는 신중히 건설하시기 바랍니다. 버튼을 눌러 건설 해 봅시다.,"Building a house increases the maximum number of residents, but it cannot be removed. Please build carefully. Press the button to build it.",住宅を建設すると最大住民数が増えますが、撤去することはできません。建設する際は慎重に建設してください。ボタンを押して建設してみましょう。
Tutorial_AddCitizen_Step1,최대 시민 수가 늘어났으니 주민을 한 번 추가해 봅시다. 먼저 닫기 버튼을 눌러 지역을 나가봅시다.,"Now that the maximum number of citizens has increased, let's add a resident. First, press the close button to leave the region.",最大市民数が増えたので、住民を一度追加してみましょう。まず閉じるボタンを押して地域から出てみましょう。
Tutorial_AddCitizen_Step2,가운데 본거점을 클릭 해 봅시다.,Click on the central main base.,中央の本拠点をクリックしてみましょう。
Tutorial_AddCitizen_Step3,본거점에서는 하루마다 생산되는 자원의 양과 희귀 자원을 기본 자원으로 교환 할 수 있습니다. 버튼을 눌러봅시다.,"At the main base, you can check the amount of resources produced each day and exchange rare resources for basic resources. Let's press the button.",本拠点では1日ごとに生産される資源の量を確認でき、レア資源を基本資源と交換できます。ボタンを押してみましょう。
Tutorial_AddCitizen_Step4,버튼을 누르거나 가운데 숫자가 적혀있는 칸에 수치를 직접 입력하여 추가할 주민의 수를 조절 할 수 있습니다. 시민을 추가 할 때 자원이 소모됩니다. 추가하고 싶은 만큼의 시민 수를 조절한 후 아래의 버튼을 눌러 추가해봅시다.,"You can press the button or directly enter a number in the field showing the number in the middle to adjust how many residents to add. Adding citizens consumes resources. Adjust the number of citizens to the amount you want, then press the button below to add them.",ボタンを押すか、中央の数字が書かれた欄に数値を直接入力して追加する住民の数を調整できます。市民を追加する際は資源が消費されます。追加したい市民数を調整した後、下のボタンを押して追加してみましょう。
Tutorial_PlaceHero_Step1,시민을 추가했으니 시민을 영웅으로 바꿔봅시다. 먼저 버튼을 눌러 거점에서 나가 봅시다.,"Now that you've added citizens, let's turn a citizen into a hero. First, press the button to leave the base.",市民を追加したので、市民を英雄に変えてみましょう。まずボタンを押して拠点から出てみましょう。
Tutorial_PlaceHero_Step2,버튼을 눌러 봅시다.,Let's press the button.,ボタンを押してみましょう。
Tutorial_PlaceHero_Step3,영웅은 근접 영웅과 원거리 영웅으로 나뉘어집니다. 원하는 타입의 영웅을 선택해 봅시다.,Heroes are divided into melee heroes and ranged heroes. Select the type of hero you want and create it.,英雄は近接英雄と遠距離英雄に分かれます。お好みのタイプの英雄を選んで生成してみましょう。
Tutorial_PlaceHero_Step4,슬라이더를 조절하여 원하는 만큼 영웅을 생성할 수 있습니다. 원하는 만큼 영웅을 생성해 봅시다.,You can adjust the slider to create as many heroes as you want. Let's create as many heroes as you'd like.,スライダーを調整して好きなだけ英雄を生成できます。好きなだけ英雄を生成してみましょう。
Tutorial_PlaceHero_Step5,생성된 영웅은 영웅 인벤토리에서 아이콘으로 생성됩니다. 아이콘을 클릭하여 영웅을 배치해 봅시다. 근접 영웅은 평지에만 원거리 영웅은 언덕에만 배치가 가능합니다.,"The created hero appears as an icon in the hero inventory. Click the icon to place the hero. Melee heroes can only be placed on flat ground, and ranged heroes can only be placed on hills.",生成された英雄は英雄インベントリにアイコンとして表示されます。アイコンをクリックして英雄を配置してみましょう。近接英雄は平地にのみ、遠距離英雄は丘にのみ配置可能です。
